ID Pipedrive,Full Name,Hotel,Atribute,Region,City,Country,ISO
15732,test,test,,,,,
15815,Sport Hotel Hermitage & Spa,Sport Hotel Hermitage & Spa,,,,,
15900,AUSTRALIA,AUSTRALIA,,,,,
16034,San Francosco bilety lotnicze,San Francosco bilety lotnicze,,,,,
16147,willa,willa,,,,,
16224,Chiny-program,Chiny-program,,,,,
16232,-,-,,,,,
16233,,,,,,,
16283,wynajem jachtu Sun Odyssey w Chorwacji,wynajem jachtu Sun Odyssey w Chorwacji,,,,,
16371,WILLE od DMC Orgon Travel,WILLE od DMC Orgon Travel,,,,,
16376,Paradisus Palma Real,Paradisus Palma Real,,,,,
16390,Dreams Onyx Punta Cana Resort & Spa,Dreams Onyx Punta Cana Resort & Spa,,,,,
16392,brak,brak,,,,,
16737,Orient Expres,Orient Expres,,,,,
16738,Monsieur George Champs Elysee,Monsieur George Champs Elysee,,,,,
16889,Avaton Luxury Hotel & Villas,Avaton Luxury Hotel & Villas,,,,,
17057,Grecja,Grecja,,,,,
17071,Villa,Villa,,,,,
17559,Grimsborgir hotel,Grimsborgir hotel,,,,,
17759,Japonia,Japonia,,,,,
17887,privat jet Cessna 525 Citation Jet/ 5,privat jet Cessna 525 Citation Jet/ 5,,,,,
18044,zakup biletów lotniczych,zakup biletów lotniczych,,,,,
18144,Nikki Beach Resort & Spa,Nikki Beach Resort & Spa,,,,,
18573,Meksyk (wyjazd grupowy 13 os) Ocean Sea View,Meksyk (wyjazd grupowy 13 os) Ocean Sea View,,,,,
18732,NAMIBIA I MOZMBIK,NAMIBIA I MOZMBIK,,,,,
18880,OMAN,OMAN,,,,,
18891,Hotel Nimb,Hotel Nimb,,,,,
19228,Uzbekistan,Uzbekistan,,,,,
19229,Turkmenistan,Turkmenistan,,,,,
19235,The Bay Hotel,The Bay Hotel,,,,,
19242,RPA,RPA,,,,,
19367,Namibia,Namibia,,,,,
19384,Johannesburg,Johannesburg,,,,,
19473,Singapur,Singapur,,,,,
19475,Nowa Zelandia,Nowa Zelandia,,,,,
19478,Hong Kong,Hong Kong,,,,,
19536,Sri Lanka,Sri Lanka,,,,,
19680,TAJLANDIA,TAJLANDIA,,,,,
19753,Orient Express Train,Orient Express Train,,,,,
19883,Tajlandia,Tajlandia,,,,,
19910,Malezja,Malezja,,,,,
19962,Gold Zanzibar Beach House & Spa,Gold Zanzibar Beach House & Spa,,,,,
20089,USA,USA,,,,,
20167,rejs statkiem Silver Dawn,rejs statkiem Silver Dawn,,,,,
20409,voucher prezentowy,voucher prezentowy,,,,,
20564,Wietnam,Wietnam,,,,,
20597,Kambodża,Kambodża,,,,,
20641,Włochy,Włochy,,,,,
20903,Is Arenas Private Golf and Foresterie Boutique Resort,Is Arenas Private Golf and Foresterie Boutique Resort,,,,,
20928,Sardynia,Sardynia,,,,,
21070,Francja,Francja,,,,,
21101,Raffles Maldives Meradhoo Resort,Raffles Maldives Meradhoo Resort,,,,,
21118,Mauritius????????,Mauritius????????,,,,,
21160,Residences Casears Palace Bluewaters,Residences Casears Palace Bluewaters,,,,,
21168,The Address Boulevard Dubai,The Address Boulevard Dubai,,,,,
21180,The Ritz-Carlton Dubai,The Ritz-Carlton Dubai,,,,,
21244,zmiana biletu,zmiana biletu,,,,,
21245,Zambia,Zambia,,,,,
21252,Regent Seven Seas Cruises,Regent Seven Seas Cruises,,,,,
21257,NAMIBIA,NAMIBIA,,,,,
21259,MALEDIWY,MALEDIWY,,,,,
21263,Florencja,Florencja,,,,,
21264,Dubaj,Dubaj,,,,,
21268,Bilety lotnicze: WARSZAWA - STANBUŁ - WARSZAWA,Bilety lotnicze: WARSZAWA - STANBUŁ - WARSZAWA,,,,,
21269,Bilety lotnicze: WARSZAWA - NICEA - WARSZAWA,Bilety lotnicze: WARSZAWA - NICEA - WARSZAWA,,,,,
21271,bilety lotnicze WAW-CDG-MIA-CDG-WAW,bilety lotnicze WAW-CDG-MIA-CDG-WAW,,,,,
21272,bilety lotnicze W-wa-Frankfurt-Cancun-Frankfurt,bilety lotnicze W-wa-Frankfurt-Cancun-Frankfurt,,,,,
21273,Bilety lotnicze w klasie ekonomicznej,Bilety lotnicze w klasie ekonomicznej,,,,,
21274,Bilety lotnicze USA,Bilety lotnicze USA,,,,,
21275,Bilety lotnicze KLM  -Warszawa - Amsterdam - Johanesburg - Amsterdam - Warszawa,Bilety lotnicze KLM  -Warszawa - Amsterdam - Johanesburg - Amsterdam - Warszawa,,,,,
21276,Bilety lotnicze do Aten,Bilety lotnicze do Aten,,,,,
21277,bilety lotnicze,bilety lotnicze,,,,,
21278,bilety LOT Warszawa-Monachium,bilety LOT Warszawa-Monachium,,,,,
21279,bilet lotniczy FCO-CAG-FCO,bilet lotniczy FCO-CAG-FCO,,,,,
21511,Grenlandia,Grenlandia,,,,,
21518,Dania,Dania,,,,,
21658,Tajwan,Tajwan,,,,,
21686,Indonezja,Indonezja,,,,,
21961,wynajem samochodu w USA,wynajem samochodu w USA,,,,,
22091,wejście do Delphin Bay na Sea Lion Discovery i Delphin Adventure,wejście do Delphin Bay na Sea Lion Discovery i Delphin Adventure,,,,,
22114,Quark Expeditions,Quark Expeditions,,,,,
22124,AMAZONIA,AMAZONIA,,,,,
22127,Velaa Private Island,Velaa Private Island,,,,,
22130,Sun Siyam Iru Veli,Sun Siyam Iru Veli,,,,,
22131,Six Senses Yao Noi,Six Senses Yao Noi,,,,,
22134,Rixos Premium Dubai JBR,Rixos Premium Dubai JBR,,,,,
22141,Mashpi Lodge,Mashpi Lodge,,,,,
22142,Mandarin Oriental,Mandarin Oriental,,,,,
22149,Finolhu,Finolhu,,,,,
22159,Amanpuri,Amanpuri,,,,,
22166,Soneva Fushi,Soneva Fushi,,,,,
22175,Niraamaya Retreats Surya Samudra Kovalam,Niraamaya Retreats Surya Samudra Kovalam,,,,,
22176,NH Collection Maldives Havodda Resort,NH Collection Maldives Havodda Resort,,,,,
22177,Mpingo Ridge Lodge,Mpingo Ridge Lodge,,,,,
22178,Le K2 Palace / Altitude,Le K2 Palace / Altitude,,,,,
22179,La Sivolière,La Sivolière,,,,,
22181,Jumeirah at Saadiyat Island Resort,Jumeirah at Saadiyat Island Resort,,,,,
22195,Alila Hinu Bay,Alila Hinu Bay,,,,,
22347,statek Royal Caribbean Cruises,statek Royal Caribbean Cruises,,,,,
18147,Mövenpick Resort Kuredhivaru Maldives,Mövenpick Resort Kuredhivaru Maldives,,,,Malediwy,MV
18327,"Taj Exotica Resort & Spa, South Male Atoll, Malediwy,",Taj Exotica Resort & Spa,South Male Atoll,,,Malediwy,MV
21455,"Melia Durres Albania, Durres, Albania",Melia Durres Albania,,,Durres,Albania,AL 
21474,"Cap Juluca, A Belmond Hotel, Anguilla, Anguilla",Cap Juluca,A Belmond Hotel,,Anguilla,Anguilla,AI
15830,"Quark Expeditions, Antarktyda",Quark Expeditions,,,,Antarktyda,AQ
16181,"rejs Magellan Explorer, Antarktyda",rejs Magellan Explorer,,,,Antarktyda,AQ
21449,"Scenic Eclipse, Scenic Cruises, Antarktyda",Scenic Eclipse,Scenic Cruises,,,Antarktyda,AQ
15859,"Jumby Bay Island, Antigua i Barbuda",Jumby Bay Island,,,,Antigua i Barbuda,AG
15845,"Our Habitas AlUla Al-Ula, Arabia Saudyjska",Our Habitas AlUla Al-Ula,,,,Arabia Saudyjska,SA
15829,"Radisson Blu Hotel Jeddah Plaza, Jeddah, Arabia Saudyjska",Radisson Blu Hotel Jeddah Plaza,,,Jeddah,Arabia Saudyjska,SA
21306,"Shangri-La Jeddah, Jeddah, Arabia Saudyjska",Shangri-La Jeddah,,,Jeddah,Arabia Saudyjska,SA
22349,"Six Senses Southern Dunes, The Red Sea, Arabia Saudyjska",Six Senses Southern Dunes,,,The Red Sea,Arabia Saudyjska,SA
15834,"przeloty i zakwaterowania wg programu dla 4 osób, ARGENTYNA",przeloty i zakwaterowania wg programu dla 4 osób,,,,ARGENTYNA,AR
21466,"Hosteria El Penon, Antofagasta, Argentyna",Hosteria El Penon,,,Antofagasta,Argentyna,AR
15856,"Llao Llao Hotel, Bariloche, Argentyna",Llao Llao Hotel,,,Bariloche,Argentyna,AR
15836,"Plaza Hotel Buenos Aires, Buenos Aires, Argentyna",Plaza Hotel Buenos Aires,,,Buenos Aires,Argentyna,AR
15843,"Palacio Duhau - Park Hyatt Buenos Aires, Buenos Aires, Argentyna",Palacio Duhau - Park Hyatt Buenos Aires,,,Buenos Aires,Argentyna,AR
15860,"InterContinental Buenos Aires, an IHG Hotel, Buenos Aires, Argentyna",InterContinental Buenos Aires,an IHG Hotel,,Buenos Aires,Argentyna,AR
15877,"Estancia La Bamba De Areco, Buenos Aires, Argentyna",Estancia La Bamba De Areco,,,Buenos Aires,Argentyna,AR
15904,"Alvear Palace, Buenos Aires, Argentyna",Alvear Palace,,,Buenos Aires,Argentyna,AR
15905,"Alvear Palace Hotel, Buenos Aires, Argentyna",Alvear Palace Hotel,,,Buenos Aires,Argentyna,AR
