reference_id,ref_hotel_name,hotel_id,hotel_name,room_name,main_name,bedrooms_count,room_capacity,room_quality,room_quality_category,room_class,bedding_type,bedding_config,balcony,family_room,club_room,room_view,room_area_m2,room_area_sqft
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Palmscape room,Palmscape room,,,,,room,,,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Palmscape Double room full double bed,Palmscape Double room,,2.0,,,room,full double bed,double,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Palmscape Double room twin beds,Palmscape Double room,,2.0,,,room,twin beds,twins,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Seascape room,Seascape room,,,,,room,,,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Seascape Double room full double bed,Seascape Double room,,2.0,,,room,full double bed,double,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Seascape Double room twin beds,Seascape Double room,,2.0,,,room,twin beds,twins,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Family room,Family room,,,,,room,,,,1.0,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Family room with palm view,Family room with palm view,,,,,room,,,,1.0,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Family room with sea view,Family room with sea view,,,,,room,,,,1.0,,sea_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Family room with balcony and with sea view,Family room with balcony and with sea view,,,,,room,,,1.0,1.0,,sea_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Club room,Royal Club room,,,royal,luxury,room,,,,,1.0,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Club room with palm view,Royal Club room with palm view,,,royal,luxury,room,,,,,1.0,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Club room with sea view,Royal Club room with sea view,,,royal,luxury,room,,,,,1.0,sea_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Club Double room with palm view full double bed,Royal Club Double room with palm view,,2.0,royal,luxury,room,full double bed,double,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Club Double room with sea view full double bed,Royal Club Double room with sea view,,2.0,royal,luxury,room,full double bed,double,,,,sea_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Club Double room with palm view twin beds,Royal Club Double room with palm view,,2.0,royal,luxury,room,twin beds,twins,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Club Double room with sea view twin beds,Royal Club Double room with sea view,,2.0,royal,luxury,room,twin beds,twins,,,,sea_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Sky Double Junior Suite full double bed,Sky Double Junior Suite,,,junior,entry,suite,full double bed,double,,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Terrace Sky Suite,Terrace Sky Suite,,,,,suite,,,1.0,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,2 Bedrooms Terrace Sky Suite,2 Bedrooms Terrace Sky Suite,2.0,,,,suite,,,1.0,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,3 Bedrooms Terrace Sky Suite,3 Bedrooms Terrace Sky Suite,3.0,,,,suite,,,1.0,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Terrace Sky Double Suite full double bed,Terrace Sky Double Suite,,2.0,,,suite,full double bed,double,1.0,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Terrace Family Sky Suite,Terrace Family Sky Suite,,,,,suite,,,1.0,1.0,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Royal Mansion,Royal Mansion,,,royal,luxury,mansion,,,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Sky Double Pool Villa with palm view full double bed,Sky Double Pool Villa with palm view,,,,,villa,full double bed,double,,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Sky Double Pool Villa with sea view full double bed,Sky Double Pool Villa with sea view,,,,,villa,full double bed,double,,,,sea_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Palmscape Double Penthouse full double bed,Palmscape Double Penthouse,,,,,penthouse,full double bed,double,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,The Skyscape Double Penthouse full double bed,The Skyscape Double Penthouse,,,,,penthouse,full double bed,double,,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,The Skyscape Double Penthouse with palm view full double bed,The Skyscape Double Penthouse with palm view,,,,,penthouse,full double bed,double,,,,sky_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,The Skyscape Double Penthouse with sea view full double bed,The Skyscape Double Penthouse with sea view,,,,,penthouse,full double bed,double,,,,sea_view,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Horizon Double Penthouse full double bed,Horizon Double Penthouse,,,,,penthouse,full double bed,double,,,,,,
77,Atlantis The Royal,the_royal_atlantis,Atlantis The Royal Hotel,Panoramic Penthouse,Panoramic Penthouse,,,,,penthouse,,,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Superior Manzil room,The Palace Superior Manzil room,,,superior,enhanced,room,,,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Superior Double room full double bed,The Palace Superior Double room,,2.0,superior,enhanced,room,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Superior Manzil Double room full double bed,The Palace Superior Manzil Double room,,2.0,superior,enhanced,room,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Superior Double room twin beds,The Palace Superior Double room,,2.0,superior,enhanced,room,twin beds,twins,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Superior Manzil Double room twin beds,The Palace Superior Manzil Double room,,2.0,superior,enhanced,room,twin beds,twins,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Arabian Court Deluxe Family room,Arabian Court Deluxe Family room,,,deluxe,high,room,,,,1.0,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Arabian Court Deluxe Double room full double bed,Arabian Court Deluxe Double room,,2.0,deluxe,high,room,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Arabian Court Deluxe Double room twin beds,Arabian Court Deluxe Double room,,2.0,deluxe,high,room,twin beds,twins,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Residence Prestige Double room full double bed,The Residence Prestige Double room,,2.0,prestige,ultimate,residence,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Residence Prestige Double room twin beds,The Residence Prestige Double room,,2.0,prestige,ultimate,residence,twin beds,twins,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Double The Residence Junior Suite full double bed,Double The Residence Junior Suite,,,junior,entry,residence,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Double Suite full double bed,Double Suite,,2.0,,,suite,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,1 Bedroom The Palace Executive Suite,1 Bedroom The Palace Executive Suite,1.0,,executive,very_high,suite,,,,,1.0,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,2 Bedrooms The Palace Executive Suite,2 Bedrooms The Palace Executive Suite,2.0,,executive,very_high,suite,,,,,1.0,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Executive Manzil Suite,The Palace Executive Manzil Suite,,,executive,very_high,suite,,,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Executive Double Suite full double bed,The Palace Executive Double Suite,,2.0,executive,very_high,suite,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Executive Manzil Double Suite full double bed,The Palace Executive Manzil Double Suite,,2.0,executive,very_high,suite,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Residence Rooftop Double Suite full double bed,The Residence Rooftop Double Suite,,2.0,,,residence,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Arabian Court Prince Double Suite full double bed,Arabian Court Prince Double Suite,,2.0,,,suite,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,2 Bedrooms Arabian Court Executive Suite,2 Bedrooms Arabian Court Executive Suite,2.0,,executive,very_high,suite,,,,,1.0,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Arabian Court Executive Double Suite full double bed,Arabian Court Executive Double Suite,,2.0,executive,very_high,suite,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Residence Executive Double Suite full double bed,The Residence Executive Double Suite,,2.0,executive,very_high,residence,full double bed,double,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,The Palace Royal Suite,The Palace Royal Suite,,,palace,luxury,suite,,,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Beach Villa,Beach Villa,,,,,villa,,,,,,,,
78,One & Only Royal Mirage,oneonly_royal_mirage_2,One&Only Royal Mirage Hotel,Garden Beach Villa,Garden Beach Villa,,,,,villa,,,,,,garden_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Room with ocean view,Room with ocean view,,,,,room,,,,,,ocean_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Imperial Club room with ocean view,Imperial Club room with ocean view,,,imperial,luxury,room,,,,,1.0,ocean_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Double room with ocean view full double bed,Double room with ocean view,,2.0,,,room,full double bed,double,,,,ocean_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Imperial Club Double room with ocean view full double bed,Imperial Club Double room with ocean view,,2.0,imperial,luxury,room,full double bed,double,,,,ocean_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Double room with ocean view twin beds,Double room with ocean view,,2.0,,,room,twin beds,twins,,,,ocean_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Imperial Club Double room twin beds,Imperial Club Double room,,2.0,imperial,luxury,room,twin beds,twins,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Palm View Double room full double bed,Palm View Double room,,2.0,,,room,full double bed,double,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Palm View Imperial Club Double room full double bed,Palm View Imperial Club Double room,,2.0,imperial,luxury,room,full double bed,double,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Palm View Double room twin beds,Palm View Double room,,2.0,,,room,twin beds,twins,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Palm View Imperial Club Double room twin beds,Palm View Imperial Club Double room,,2.0,imperial,luxury,room,twin beds,twins,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Family room,2 Bedrooms Family room,2.0,,,,room,,,,1.0,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Family Imperial Club room,2 Bedrooms Family Imperial Club room,2.0,,imperial,luxury,room,,,,1.0,1.0,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Family Quadruple room,2 Bedrooms Family Quadruple room,2.0,4.0,,,room,,,,1.0,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Family Imperial Club Quadruple room,2 Bedrooms Family Imperial Club Quadruple room,2.0,4.0,imperial,luxury,room,,,,1.0,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Family Sextuple room,2 Bedrooms Family Sextuple room,2.0,6.0,,,room,,,,1.0,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Family Imperial Club Sextuple room,2 Bedrooms Family Imperial Club Sextuple room,2.0,6.0,imperial,luxury,room,,,,1.0,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",1 Bedroom Terrace Suite,1 Bedroom Terrace Suite,1.0,,,,suite,,,1.0,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Terrace Suite,2 Bedrooms Terrace Suite,2.0,,,,suite,,,1.0,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",1 Bedroom Regal Suite,1 Bedroom Regal Suite,1.0,,regal,luxury,suite,,,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Regal Suite,2 Bedrooms Regal Suite,2.0,,regal,luxury,suite,,,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Presidential Double Suite full double bed,Presidential Double Suite,,2.0,presidential,ultimate,suite,full double bed,double,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",1 Bedroom Skyline Suite,1 Bedroom Skyline Suite,1.0,,,,suite,,,,,,sky_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",2 Bedrooms Skyline Suite,2 Bedrooms Skyline Suite,2.0,,,,suite,,,,,,sky_view,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Underwater Double Suite full double bed,Underwater Double Suite,,2.0,,,suite,full double bed,double,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Grand Atlantis Suite,Grand Atlantis Suite,,,grand,luxury,suite,,,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Grand Atlantis Quadruple Suite,Grand Atlantis Quadruple Suite,,4.0,grand,luxury,suite,,,,,,,,
79,Atlantis The Palm,atlantis_the_palm,"Atlantis, The Palm",Grand Atlantis Double Suite twin beds,Grand Atlantis Double Suite,,2.0,grand,luxury,suite,twin beds,twins,,,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Superior Double room full double bed,Superior Double room,,2.0,superior,enhanced,room,full double bed,double,,,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Superior Club Double room full double bed,Superior Club Double room,,2.0,superior,enhanced,room,full double bed,double,,,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Superior Double room twin beds,Superior Double room,,2.0,superior,enhanced,room,twin beds,twins,,,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Superior Club Double room twin beds,Superior Club Double room,,2.0,superior,enhanced,room,twin beds,twins,,,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Deluxe Club Skyline View room,Deluxe Club Skyline View room,,,deluxe,high,room,,,,,,city_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Deluxe Double room with sea view full double bed,Deluxe Double room with sea view,,2.0,deluxe,high,room,full double bed,double,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Deluxe Club Double room with sea view full double bed,Deluxe Club Double room with sea view,,2.0,deluxe,high,room,full double bed,double,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Deluxe Skyline View Double room full double bed,Deluxe Skyline View Double room,,2.0,deluxe,high,room,full double bed,double,,,,city_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Deluxe Double room with sea view twin beds,Deluxe Double room with sea view,,2.0,deluxe,high,room,twin beds,twins,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Deluxe Club Double room with sea view twin beds,Deluxe Club Double room with sea view,,2.0,deluxe,high,room,twin beds,twins,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Deluxe Skyline View Double room twin beds,Deluxe Skyline View Double room,,2.0,deluxe,high,room,twin beds,twins,,,,city_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Premier Double room with sea view full double bed,Premier Double room with sea view,,2.0,premier,luxury,room,full double bed,double,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Premier Double room with sea view twin beds,Premier Double room with sea view,,2.0,premier,luxury,room,twin beds,twins,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Family Quadruple room with panoramic view,Family Quadruple room with panoramic view,,4.0,,,room,,,,1.0,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Mandarin room with panoramic view,Mandarin room with panoramic view,,,,,room,,,,,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Double Junior Suite with sea view full double bed,Double Junior Suite with sea view,,,junior,entry,suite,full double bed,double,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Suite with sea view,Suite with sea view,,,,,suite,,,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",2 Bedrooms Suite with sea view,2 Bedrooms Suite with sea view,2.0,,,,suite,,,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",4 Bedrooms Suite with sea view,4 Bedrooms Suite with sea view,4.0,,,,suite,,,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Skyline View Double Suite full double bed,Skyline View Double Suite,,2.0,,,suite,full double bed,double,,,,city_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Premier Suite with sea view,Premier Suite with sea view,,,premier,luxury,suite,,,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",2 Bedrooms Premier Suite with sea view,2 Bedrooms Premier Suite with sea view,2.0,,premier,luxury,suite,,,,,,sea_view,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Presidential Suite,Presidential Suite,,,presidential,ultimate,suite,,,,,,,,
80,Mandarin Oriental Jumeira Dubai,mandarin_oriental_jumeira_dubai,"Hotel mandarin oriental jumeira, dubai",Mandarin Double Suite seafront full double bed,Mandarin Double Suite seafront,,2.0,,,suite,full double bed,double,,,,sea_view,,
