reference_id,ref_hotel_name,hotel_id,hotel_name,room_name,main_name,bedrooms_count,room_capacity,room_quality,room_quality_category,room_class,bedding_type,bedding_config,balcony,family_room,club_room,room_view,room_area_m2,room_area_sqft
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Deluxe Room,Ocean Deluxe Room,,,deluxe,high,room,,,,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Family Deluxe Room,Ocean Family Deluxe Room,,,deluxe,high,room,,,,1.0,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Deluxe Balcony Room,Ocean Deluxe Balcony Room,,,deluxe,high,room,,,1.0,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Deluxe (Double),Ocean Deluxe,,,deluxe,high,other,,,,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Deluxe (Twin),Ocean Deluxe,,,deluxe,high,other,twin,twin,,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Deluxe Room - includes Wild Wadi Waterpark™ and KiDS Club access  ,Ocean View Deluxe Room,,,deluxe,high,room,,,,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Family Deluxe Room with Murphy Wall Beds - includes Wild Wadi Waterpark™ and KiDS Club access ,Ocean View Family Deluxe Room with Murphy Wall Beds,,,deluxe,high,room,,,,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Deluxe Room Balcony (Ocean),Deluxe Room Balcony,,,deluxe,high,room,,,1.0,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Deluxe Room with Private Balcony - includes Wild Wadi Waterpark™ and KiDS Club access ,Ocean View Deluxe Room with Private Balcony,,,deluxe,high,room,,,1.0,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Deluxe Room - includes Wild Wadi Waterpark™ and KiDS Club access  - Breakfast included in the price ,Ocean View Deluxe Room,,,deluxe,high,room,,,,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Family Deluxe Room with Murphy Wall Beds - includes Wild Wadi Waterpark™ and KiDS Club access - Breakfast included in the price ,Ocean View Family Deluxe Room with Murphy Wall Beds,,,deluxe,high,room,,,,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Deluxe Room with Private Balcony - includes Wild Wadi Waterpark™ and KiDS Club access - Breakfast included in the price ,Ocean View Deluxe Room with Private Balcony,,,deluxe,high,room,,,1.0,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Club Room,Ocean Club Room,,,club,very_high,room,,,,,1.0,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,OCEAN  CLUB  BALCONY,OCEAN CLUB BALCONY,,,club,very_high,other,,,1.0,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,OCEAN  CLUB  FAMILY,OCEAN CLUB FAMILY,,,club,very_high,other,,,,1.0,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Deluxe Room - includes Wild Wadi Waterpark™ and KiDS Club access  - Half board included ,Ocean View Deluxe Room,,,deluxe,high,room,,,,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Family Deluxe Room with Murphy Wall Beds - includes Wild Wadi Waterpark™ and KiDS Club access - Half board included ,Ocean View Family Deluxe Room with Murphy Wall Beds,,,deluxe,high,room,,,,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Club Room (Ocean),Club Room,,,club,very_high,room,,,,,1.0,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Deluxe Room with Private Balcony - includes Wild Wadi Waterpark™ and KiDS Club access - Half board included ,Ocean View Deluxe Room with Private Balcony,,,deluxe,high,room,,,1.0,1.0,,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Club Room Balcony (Ocean),Club Room Balcony,,,club,very_high,room,,,1.0,,1.0,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Club Room with Club Lounge access - Daily Breakfast & Afternoon Tea  Evening Drinks & Canapes  all-day refreshments and Wild Wadi Waterpark™ Access - Breakfast included in the price ,Ocean View Club Room with Club Lounge access,,,club,very_high,room,,,,,1.0,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Club Room (Family | Ocean),Club Room,,,club,very_high,room,,,,1.0,1.0,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Balcony Club with Club Lounge access - Daily Breakfast & Afternoon Tea  Evening Drinks & Canapes  all-day refreshments and Wild Wadi Waterpark™ Access ,Ocean Balcony Club with Club Lounge access,,,club,very_high,other,,,1.0,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Family Club with Club Lounge access - Daily Breakfast & Afternoon Tea  Evening Drinks & Canapes  all-day refreshments and Wild Wadi Waterpark™ Access ,Ocean Family Club with Club Lounge access,,,club,very_high,other,,,,1.0,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Balcony Club,Ocean Balcony Club,,,club,very_high,other,,,1.0,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Family Club,Ocean Family Club,,,club,very_high,other,,,,1.0,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean View Club Room with Club Lounge access - Daily Breakfast & Afternoon Tea  Evening Drinks & Canapes  all-day refreshments and Wild Wadi Waterpark™ Access - Half board included ,Ocean View Club Room with Club Lounge access,,,club,very_high,room,,,,,1.0,ocean_view,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Balcony Club with Club Lounge access - Daily Breakfast & Afternoon Tea  Evening Drinks & Canapes  all-day refreshments and Wild Wadi Waterpark™ Access - Half board included ,Ocean Balcony Club with Club Lounge access,,,club,very_high,other,,,1.0,,,,,
76,"Jumeirah at Saadiyat Island Resort, UAE",2345,JUMEIRAH BEACH,Ocean Family Club with Club Lounge access - Daily Breakfast & Afternoon Tea  Evening Drinks & Canapes  all-day refreshments and Wild Wadi Waterpark™ Access - Half board included ,Ocean Family Club with Club Lounge access,,,club,very_high,other,,,,1.0,,,,
