reference_id,ref_hotel_name,hotel_id,hotel_name,room_name,main_name,bedrooms_count,room_capacity,room_quality,room_quality_category,room_class,bedding_type,bedding_config,balcony,family_room,club_room,room_view,room_area_m2,room_area_sqft
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Superior Room, 1 King Bed (Palace, with Waterpark Access),NonSmoking",Superior Room,,,superior,enhanced,room,1 king bed,king,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Superior Room, 2 Twin Beds (Palace, with Waterpark Access),NonSmoking",Superior Room,,,superior,enhanced,room,2 twin beds,twins,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Deluxe Room, 1 King Bed (Arabian Court, with Waterpark Access),NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Deluxe Room, 2 Twin Beds (Arabian Court, with Waterpark Access),NonSmoking",Deluxe Room,,,deluxe,high,room,2 twin beds,twins,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Deluxe Room, 1 King Bed (Arabian Court, with Waterpark Access),NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,,,
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,,170.0,1829.9
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Twin Room (Palm Manor),2 Double Beds,NonSmoking",Premier Twin Room (Palm Manor),,2.0,premier,luxury,room,2 double beds,doubles,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Double Room, 2 Queen Beds (Palm Manor),NonSmoking",Premier Double Room,,2.0,premier,luxury,room,2 queen beds,queens,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Room, 1 King Bed (Palm Manor),NonSmoking",Premier Room,,,premier,luxury,room,1 king bed,king,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Twin Room (Palm Manor),2 Double Beds,NonSmoking",Premier Twin Room (Palm Manor),,2.0,premier,luxury,room,2 double beds,doubles,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Double Room, 2 Queen Beds (Palm Manor),NonSmoking",Premier Double Room,,2.0,premier,luxury,room,2 queen beds,queens,,,,,,
